"Yr","Age4plus_bio.median","Age4plus_bio.025","Age4plus_bio.975"
1995,79450.552867279,28051.2442519318,360414.453380404
1996,77633.7095163714,25955.2447448173,359476.92304593
1997,74396.2547112772,23016.009865617,356939.858721032
1998,76340.0500635613,25500.0325924787,359711.5852831
1999,77260.8997636932,25630.9029536375,361365.207009549
2000,77464.5663818729,25765.5423893994,362366.656131716
2001,77075.2794977163,24476.8027552622,363114.536387092
2002,78204.3491366965,24672.1979319942,365317.27698585
2003,80614.8753906779,25837.8165608915,368243.614138139
2004,83619.7792269032,27518.9364019014,371863.73118612
2005,86374.4998033436,29653.2808934048,374985.43538983
2006,88814.3378324118,32424.1756702374,378597.598023407
2007,92104.4769627907,34641.9788152928,382358.478400333
2008,95781.5591514282,37317.4811968578,385926.944232521
2009,99173.9689788282,39644.7426192425,389110.044646521
2010,102051.61212577,41500.9549289761,391742.116040887
2011,104656.402191621,42506.4990747531,393947.434827772
2012,106684.240727908,43587.6947960194,395550.774384787
2013,108467.944439728,45462.7827559863,396817.306790646
2014,110410.285198145,47574.1494316039,398203.374416867
2015,112299.027453968,49642.9519846708,399458.09213904
2016,109023.953084412,49637.6479625287,374497.855136848
2017,105507.434052659,49306.9695766827,351266.577559479
2018,102352.328336509,48611.0350436459,340806.186674966
2019,99844.4943467934,48235.4829591532,333988.240501856
2020,97935.3613451863,48653.5066988503,328100.068182576
2021,96276.4037299396,48104.1865450522,319802.896891102
2022,95040.7635321736,46313.8957374386,309960.66376278
2023,93736.7391642945,45873.8754887551,301495.988971372
2024,92300.6118429971,45476.9732806522,294191.029253912
